Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z ,Gait Type
-0.212118,-0.164375,2.39064,-0.0592054,-0.833153,2.29941,-0.0622283,-0.787497,2.43176,-0.0707884,-0.466468,2.40079,-0.0683025,-0.16519,2.40051,-0.164043,-0.928293,2.40941,-0.184061,-0.845014,2.45682,-0.184061,-0.845014,2.45682,Normal
-0.218976,-0.453306,2.27618,-0.210433,-0.161874,2.36114,-0.138821,-0.962546,2.37059,-0.0931655,-0.890825,2.41909,-0.0688692,-0.465164,2.38087,-0.0676766,-0.164016,2.36617,-0.174946,-0.893802,2.25693,-0.174946,-0.893802,2.25693,Normal
-0.176841,-0.848947,2.38895,-0.217878,-0.447964,2.22905,-0.210669,-0.161135,2.33473,-0.113623,-0.909623,2.38215,-0.075108,-0.826065,2.42524,-0.0690542,-0.458726,2.35822,-0.0682345,-0.163283,2.33985,-0.0682345,-0.163283,2.33985,Normal
-0.198475,-0.911741,2.16385,-0.195224,-0.867043,2.29517,-0.216115,-0.444824,2.19015,-0.213372,-0.161451,2.30701,-0.117714,-0.860035,2.34518,-0.0683823,-0.757986,2.42471,-0.0714429,-0.45208,2.33147,-0.0714429,-0.45208,2.33147,Normal
-0.0719249,-0.165752,2.30844,-0.18904,-0.901733,2.08994,-0.188639,-0.857606,2.22155,-0.209894,-0.44708,2.15625,-0.215864,-0.165131,2.27547,-0.100865,-0.923122,2.27725,-0.0990703,-0.878418,2.40916,-0.0990703,-0.878418,2.40916,Normal
-0.0724992,-0.453172,2.31739,-0.0739692,-0.17244,2.27658,-0.191836,-0.917976,1.98108,-0.188382,-0.873993,2.11186,-0.205471,-0.44964,2.12646,-0.220612,-0.170255,2.25073,-0.0714025,-0.8032,2.27568,-0.0714025,-0.8032,2.27568,Normal
-0.0660159,-0.756405,2.40759,-0.0728976,-0.458205,2.29488,-0.0785232,-0.178914,2.25238,-0.184522,-0.89108,1.90479,-0.182783,-0.8472,2.03566,-0.19915,-0.457004,2.09702,-0.222581,-0.178676,2.22055,-0.222581,-0.178676,2.22055,Normal
-0.0947659,-0.876245,2.3537,-0.0684371,-0.758416,2.39865,-0.0722793,-0.462668,2.28032,-0.0806694,-0.189624,2.22227,-0.183838,-0.848227,1.82501,-0.178315,-0.804094,1.95564,-0.197233,-0.465645,2.07572,-0.197233,-0.465645,2.07572,Normal
-0.22427,-0.186664,2.19395,-0.0957976,-0.890377,2.35344,-0.0709361,-0.784127,2.39815,-0.0676674,-0.493494,2.26945,-0.0824975,-0.196704,2.19368,-0.176041,-0.848301,1.81151,-0.17516,-0.804173,1.94236,-0.17516,-0.804173,1.94236,Normal
-0.194231,-0.475481,2.04203,-0.224492,-0.196922,2.15841,-0.0870984,-0.945913,2.28691,-0.100106,-0.896372,2.39363,-0.0664805,-0.497219,2.26111,-0.0820682,-0.205325,2.16305,-0.176549,-0.834077,1.76225,-0.176549,-0.834077,1.76225,Normal
-0.171081,-0.78996,1.89273,-0.190122,-0.480099,2.00046,-0.22499,-0.204413,2.12788,-0.0609547,-0.92458,2.29065,-0.106226,-0.900257,2.40183,-0.0632059,-0.5234,2.24969,-0.0826104,-0.214535,2.12477,-0.0826104,-0.214535,2.12477,Normal
