Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.104953,-0.332137,3.40443,-0.0729314,-0.0449218,3.54192,0.0477415,-0.490715,3.66209,0.0269734,-0.608265,3.75262,0.0652516,-0.319591,3.62902,0.0668639,-0.0470254,3.53348,-0.102533,-0.524617,3.33708,-0.102533,-0.524617,3.33708,
-0.11135,-0.657959,3.37662,-0.103016,-0.336284,3.3807,-0.0746521,-0.0489084,3.51879,0.0469921,-0.49395,3.64659,0.0234108,-0.61088,3.73739,0.0668348,-0.322533,3.61445,0.0660333,-0.0517256,3.51561,0.0660333,-0.0517256,3.51561,
-0.101931,-0.523874,3.30048,-0.110229,-0.656841,3.32206,-0.103579,-0.336057,3.3607,-0.0736105,-0.0518025,3.50683,0.0388961,-0.497868,3.62831,0.0141689,-0.608158,3.73028,0.0675448,-0.31993,3.61056,0.0675448,-0.31993,3.61056,
0.0663297,-0.0547829,3.50149,-0.0927536,-0.53048,3.27345,-0.0854845,-0.662679,3.28822,-0.107924,-0.344206,3.34248,-0.0725435,-0.060263,3.48756,0.0444155,-0.492104,3.63932,0.0253629,-0.59653,3.75111,0.0253629,-0.59653,3.75111,
0.0598507,-0.331142,3.58577,0.0671213,-0.0618207,3.48207,-0.0701303,-0.53151,3.26109,-0.0684526,-0.665498,3.29637,-0.095183,-0.344633,3.31458,-0.0715241,-0.0637228,3.46811,0.0482198,-0.502986,3.6268,0.0482198,-0.502986,3.6268,
0.0343978,-0.619825,3.7213,0.0609293,-0.3369,3.58353,0.0677294,-0.0660785,3.46545,-0.089421,-0.539933,3.23967,-0.0880149,-0.67374,3.28309,-0.0989893,-0.351951,3.29301,-0.0717692,-0.0716189,3.44408,-0.0717692,-0.0716189,3.44408,
0.0621276,-0.512278,3.60711,0.0766496,-0.628046,3.70386,0.0607829,-0.342619,3.56944,0.0675862,-0.0727798,3.44294,-0.0950649,-0.548695,3.22099,-0.104383,-0.67973,3.22746,-0.100866,-0.359728,3.27508,-0.100866,-0.359728,3.27508,
-0.0714739,-0.0766462,3.41843,0.0237031,-0.506889,3.57317,0.0196531,-0.624288,3.66843,0.0609606,-0.338747,3.53903,0.0686487,-0.0763216,3.4173,-0.0865047,-0.552252,3.21563,-0.085718,-0.684002,3.22369,-0.085718,-0.684002,3.22369,
-0.107958,-0.36336,3.2554,-0.0733857,-0.0799886,3.39857,0.0394424,-0.502967,3.5723,0.03408,-0.614936,3.67645,0.0601978,-0.339488,3.52545,0.0669279,-0.082743,3.39792,-0.0759189,-0.56146,3.19799,-0.0759189,-0.56146,3.19799,
-0.0913247,-0.695099,3.22553,-0.110123,-0.373735,3.2336,-0.0738026,-0.0842069,3.36044,0.0390118,-0.506528,3.53134,0.0280451,-0.621804,3.62979,0.0618648,-0.346783,3.47949,0.0669826,-0.0855458,3.36503,0.0669826,-0.0855458,3.36503,
